"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
5.17829751958567e-31,-0.818161120703236,0.177,0.244,1.52485327059239e-26,"PHLDA1"
1.89944509430742e-29,-0.584943248371966,0.408,0.446,5.59329596920705e-25,"ATP5PO"
2.01665981751968e-29,-0.601334045724126,0.276,0.345,5.9384581646502e-25,"RRAS"
1.27887700699723e-28,-0.501724574613221,0.165,0.23,3.76590912250474e-24,"RILPL2"
4.13174129246393e-27,-0.554586972793159,0.417,0.503,1.21667385839185e-22,"GSN"
2.67230652719148e-26,-0.535705712971515,0.161,0.224,7.86914103062075e-22,"PALLD"
3.38727426789182e-25,-0.80165527098187,0.149,0.208,9.97450653666104e-21,"RIDA"
2.01740965098038e-24,-0.83146823916403,0.239,0.295,5.94066619924193e-20,"CALD1"
3.31294580919652e-24,-0.549173437657818,0.163,0.222,9.755631524341e-20,"MSRA"
1.68500926795471e-22,-0.522022952936348,0.4,0.479,4.96184679134622e-18,"IL6ST"
3.45006988244917e-22,-0.574172223716819,0.507,0.503,1.01594207828481e-17,"ATP5MC3"
4.05182810968437e-21,-0.670452797708576,0.297,0.365,1.19314182345876e-16,"SYNE1"
7.4575080610799e-21,-0.560491790859843,0.266,0.329,2.1960123987462e-16,"HES1"
1.76076962408856e-19,-0.612073226820074,0.245,0.296,5.18493831205358e-15,"KLF2"
5.83664697793633e-19,-0.839822740955491,0.323,0.366,1.71871743559291e-14,"TNFRSF12A"
1.42684533517905e-18,-0.69154999016164,0.342,0.394,4.20163145850174e-14,"APOE"
2.73323936609194e-16,-0.522475944335474,0.26,0.317,8.04856996133094e-12,"CMBL"
7.79200988970817e-15,-0.700634103026937,0.197,0.233,2.29451315222237e-10,"IFI27"
1.94992019937079e-14,-0.967565195468918,0.17,0.214,5.74193001108717e-10,"PLPP3"
8.49622316663118e-12,-0.611523120263446,0.395,0.462,2.50188283587788e-07,"GPX3"
1.54315823311241e-11,-0.679741089547794,0.201,0.234,4.54413804904612e-07,"KNG1"
3.85267102184293e-10,-1.25408375261779,0.183,0.214,1.13449603580209e-05,"SPRY1"
7.08215333291755e-10,-0.639225843144759,0.595,0.64,2.08548169194423e-05,"HLA-E"
